config,test_year,brier_D,brier_D_PS,improvement_D_to_DPS,auc_D,auc_D_PS,n_test
w40_s1.00_n30,2025,0.09047260021377206,0.08979246679934522,0.0006801334144268395,0.6332950593596355,0.6469856997241876,6000
w40_s1.00_n30,2026,0.11218849610686259,0.11215407648463734,3.44196222252513e-05,0.5534359127894137,0.5538796947459614,2904
w40_s1.00_n50,2021,0.07777424814479723,0.07730023787884312,0.00047401026595411677,0.6050275843997153,0.6228528729253897,6048
w40_s1.00_n50,2022,0.10198455025984952,0.10158226045669735,0.0004022898031521699,0.5888782601695824,0.6018137544273907,6024
w40_s1.00_n50,2023,0.0661849799476213,0.06578932212158098,0.00039565782604032707,0.5772307561017239,0.5858696023212152,6000
w40_s1.00_n50,2024,0.09118341309190296,0.09119545354009623,-1.2040448193265108e-05,0.5806969550680328,0.5812811779220082,6048
w40_s1.00_n50,2025,0.09047260021377206,0.08978495477957138,0.000687645434200676,0.6332950593596355,0.6462739836910901,6000
w40_s1.00_n50,2026,0.11218849610686259,0.11215142063619353,3.707547066905681e-05,0.5534359127894137,0.5544291137950365,2904
w60_s0.25_n20,2021,0.07777424814479723,0.07761616114011476,0.00015808700468247783,0.6050275843997153,0.6119909462633193,6048
w60_s0.25_n20,2022,0.10198455025984952,0.10196123046598306,2.3319793866466432e-05,0.5888782601695824,0.5916349146721047,6024
w60_s0.25_n20,2023,0.0661849799476213,0.06601636891973697,0.0001686110278843328,0.5772307561017239,0.5827090800477898,6000
w60_s0.25_n20,2024,0.09118341309190296,0.09124755900473555,-6.414591283258886e-05,0.5806969550680328,0.5798604778677728,6048
w60_s0.25_n20,2025,0.09047260021377206,0.09013399928673453,0.00033860092703752454,0.6332950593596355,0.6378114881880321,6000
w60_s0.25_n20,2026,0.11218849610686259,0.11187436111330393,0.0003141349935586596,0.5534359127894137,0.5617685029472218,2904
w60_s0.25_n30,2021,0.07777424814479723,0.07760808254535237,0.00016616559944486464,0.6050275843997153,0.6129616901242664,6048
w60_s0.25_n30,2022,0.10198455025984952,0.10194701636940963,3.7533890439894746e-05,0.5888782601695824,0.5925046957175057,6024
w60_s0.25_n30,2023,0.0661849799476213,0.06602172850779622,0.00016325143982508228,0.5772307561017239,0.5827948455367811,6000
w60_s0.25_n30,2024,0.09118341309190296,0.09126595587949744,-8.254278759448064e-05,0.5806969550680328,0.579651135070059,6048
w60_s0.25_n30,2025,0.09047260021377206,0.09007472634702009,0.0003978738667519688,0.6332950593596355,0.6396582324019666,6000
w60_s0.25_n30,2026,0.11218849610686259,0.11184694255308393,0.00034155355377865626,0.5534359127894137,0.5621024010939544,2904
w60_s0.25_n50,2021,0.07777424814479723,0.07768606398271688,8.818416208035418e-05,0.6050275843997153,0.6112433578839396,6048
w60_s0.25_n50,2022,0.10198455025984952,0.10197469371313156,9.856546717965098e-06,0.5888782601695824,0.5918750670816786,6024
w60_s0.25_n50,2023,0.0661849799476213,0.0659749682264019,0.0002100117212193997,0.5772307561017239,0.5850616572793992,6000
w60_s0.25_n50,2024,0.09118341309190296,0.09125788826165424,-7.4475169751273e-05,0.5806969550680328,0.5804151990321063,6048
w60_s0.25_n50,2025,0.09047260021377206,0.09006347424704891,0.0004091259667231423,0.6332950593596355,0.6400137906223768,6000
w60_s0.25_n50,2026,0.11218849610686259,0.1119006817762837,0.00028781433057888106,0.5534359127894137,0.5610863739829113,2904
w60_s0.50_n20,2021,0.07777424814479723,0.07756471240324243,0.00020953574155480048,0.6050275843997153,0.6154156997763541,6048
w60_s0.50_n20,2022,0.10198455025984952,0.10204065270899791,-5.610244914838747e-05,0.5888782601695824,0.5909309595363315,6024
w60_s0.50_n20,2023,0.0661849799476213,0.06589236451943915,0.00029261542818215247,0.5772307561017239,0.5879426949991466,6000
w60_s0.50_n20,2024,0.09118341309190296,0.0911293206398092,5.4092452093756904e-05,0.5806969550680328,0.5823152270438114,6048
w60_s0.50_n20,2025,0.09047260021377206,0.09003343304209571,0.000439167171676344,0.6332950593596355,0.6387915217651996,6000
w60_s0.50_n20,2026,0.11218849610686259,0.11189464172924345,0.00029385437761914046,0.5534359127894137,0.5638154206798145,2904
w60_s0.50_n30,2021,0.07777424814479723,0.0776325530059403,0.00014169513885693708,0.6050275843997153,0.6136045320531145,6048
w60_s0.50_n30,2022,0.10198455025984952,0.10193512233674588,4.942792310363986e-05,0.5888782601695824,0.5938322421380273,6024
w60_s0.50_n30,2023,0.0661849799476213,0.0659295604778524,0.00025541946976891106,0.5772307561017239,0.5866385048643112,6000
w60_s0.50_n30,2024,0.09118341309190296,0.09117143309672132,1.1979995181640724e-05,0.5806969550680328,0.5812713440254609,6048
w60_s0.50_n30,2025,0.09047260021377206,0.08997797794202608,0.0004946222717459731,0.6332950593596355,0.6402813586761003,6000
w60_s0.50_n30,2026,0.11218849610686259,0.11185098598704742,0.00033751011981517087,0.5534359127894137,0.5649641577060932,2904
w60_s0.50_n50,2021,0.07777424814479723,0.07753137118607198,0.00024287695872525494,0.6050275843997153,0.6175698333025049,6048
w60_s0.50_n50,2022,0.10198455025984952,0.10198081158963004,3.7386702194802668e-06,0.5888782601695824,0.5934598046581517,6024
w60_s0.50_n50,2023,0.0661849799476213,0.06586347907910424,0.00032150086851706616,0.5772307561017239,0.589003029527223,6000
w60_s0.50_n50,2024,0.09118341309190296,0.09118765979175028,-4.2466998473184026e-06,0.5806969550680328,0.5820239351082026,6048
w60_s0.50_n50,2025,0.09047260021377206,0.0899094540565954,0.0005631461571766611,0.6332950593596355,0.6417616021105649,6000
w60_s0.50_n50,2026,0.11218849610686259,0.11185676519530466,0.00033173091155792866,0.5534359127894137,0.5646647641373219,2904
w60_s1.00_n20,2021,0.07777424814479723,0.07728685097591732,0.0004873971688799106,0.6050275843997153,0.6184354803903434,6048
w60_s1.00_n20,2022,0.10198455025984952,0.1017631034660283,0.00022144679382121724,0.5888782601695824,0.5971969249758505,6024
w60_s1.00_n20,2023,0.0661849799476213,0.06581647169150474,0.000368508256116562,0.5772307561017239,0.5865282044717529,6000
w60_s1.00_n20,2024,0.09118341309190296,0.09110150452344368,8.190856845928518e-05,0.5806969550680328,0.5844079100287866,6048
w60_s1.00_n20,2025,0.09047260021377206,0.08991813786635633,0.0005544623474157268,0.6332950593596355,0.6387642403165847,6000
w60_s1.00_n20,2026,0.11218849610686259,0.1122709684047103,-8.247229784771881e-05,0.5534359127894137,0.5539083600876522,2904
w60_s1.00_n30,2021,0.07777424814479723,0.0773940114394952,0.00038023670530203113,0.6050275843997153,0.6184493181321361,6048
w60_s1.00_n30,2022,0.10198455025984952,0.10175803981104659,0.00022651044880293847,0.5888782601695824,0.5977456531072234,6024
w60_s1.00_n30,2023,0.0661849799476213,0.06593689491445541,0.0002480850331658957,0.5772307561017239,0.5806451612903225,6000
